conference,gender,team,rank,score,champion_ratio,meet_share,final_tier,tier_short,generated_at,snapshot_version
GLIAC,women,Saginaw Valley State Universit,4,433.0,0.395434,0.133601,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
GLIAC,women,Davenport University,5,411.0,0.375342,0.126813,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
GLIAC,women,Lake Superior State University,6,3.0,0.00274,0.000926,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Horizon League,men,Oakland University,1,904.0,1.0,0.269368,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
Horizon League,men,IU Indianapolis,2,785.5,0.868916,0.234058,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Horizon League,men,Youngstown State University,3,494.0,0.54646,0.147199,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Horizon League,men,University of Wisconsin-Milwau,4,438.0,0.484513,0.130513,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Horizon League,men,Cleveland State University,5,391.0,0.432522,0.116508,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Horizon League,men,Green Bay Phoenix,6,193.0,0.213496,0.057509,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Horizon League,men,Northern Kentucky University,7,150.5,0.166482,0.044845,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Horizon League,women,Oakland University,1,896.5,1.0,0.268092,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
