bundle_id,conference,gender,rank,team,score,champion_score,total_meet_points,champion_ratio,meet_share,base_tier,power_class,final_tier
coloradocollege_unknown,Colorado College,women,2,Johns Hopkins University,803.5,819.0,3472.0,0.981074,0.231423,Tier 1,Powerhouse,Tier 1B
coloradocollege_unknown,Colorado College,women,3,Gettysburg College,626.0,819.0,3472.0,0.764347,0.1803,Tier 2,,Tier 2
coloradocollege_unknown,Colorado College,women,4,Ursinus College,299.0,819.0,3472.0,0.365079,0.086118,Tier 3,,Tier 3
coloradocollege_unknown,Colorado College,women,5,Franklin & Marshall College,259.0,819.0,3472.0,0.316239,0.074597,Tier 4,,Tier 4
coloradocollege_unknown,Colorado College,women,6,Dickinson College,231.5,819.0,3472.0,0.282662,0.066676,Tier 4,,Tier 4
coloradocollege_unknown,Colorado College,women,7,Washington College,189.0,819.0,3472.0,0.230769,0.054435,Tier 4,,Tier 4
coloradocollege_unknown,Colorado College,women,8,Bryn Mawr College Owls,141.0,819.0,3472.0,0.172161,0.040611,Tier 4,,Tier 4
coloradocollege_unknown,Colorado College,women,9,McDaniel College Swim Team,104.0,819.0,3472.0,0.126984,0.029954,Tier 4,,Tier 4
gliac_2026,GLIAC,men,1,Grand Valley State University,847.5,847.5,3637.0,1.0,0.233022,Tier 1,Powerhouse,Tier 1B
gliac_2026,GLIAC,men,2,Wayne State University,652.0,847.5,3637.0,0.769322,0.179269,Tier 2,,Tier 2
gliac_2026,GLIAC,men,3,Northern Michigan University,547.0,847.5,3637.0,0.645428,0.150399,Tier 2,,Tier 2
gliac_2026,GLIAC,men,4,St Cloud State University (M),479.5,847.5,3637.0,0.565782,0.131839,Tier 3,,Tier 3
gliac_2026,GLIAC,men,5,Saginaw Valley State Universit,412.0,847.5,3637.0,0.486136,0.11328,Tier 3,,Tier 3
gliac_2026,GLIAC,men,6,Davenport University,297.0,847.5,3637.0,0.350442,0.081661,Tier 3,,Tier 3
gliac_2026,GLIAC,men,7,Augustana University,262.5,847.5,3637.0,0.309735,0.072175,Tier 4,,Tier 4
gliac_2026,GLIAC,men,8,Lake Superior State University,139.5,847.5,3637.0,0.164602,0.038356,Tier 4,,Tier 4
gliac_2026,GLIAC,women,1,Grand Valley State University,1095.0,1095.0,3241.0,1.0,0.337859,Tier 1,Super Powerhouse,Tier 1A
gliac_2026,GLIAC,women,2,Northern Michigan University,708.0,1095.0,3241.0,0.646575,0.218451,Tier 2,,Tier 2
gliac_2026,GLIAC,women,3,Wayne State University,591.0,1095.0,3241.0,0.539726,0.182351,Tier 3,,Tier 3
