Conference,Finish,Team,MenPoints,Tier,SourcePage,Key,ChampionPoints,MedianPoints,DominanceIndex,IsChampion,PSF,PowerClass,ChampionMeetShare,ChampionPowerClass,ChampionRatio,MeetTotalPoints,MeetShare,gender,final_tier,tier_short,generated_at,snapshot_version
Big 12,8,Brigham Young University,524.0,Tier 4,0,Big 12|Brigham Young University,1660.5,0,0,0,1.0,,0.19117,Powerhouse,0.315568,8686.0,0.060327,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,9,Iowa State University,520.0,Tier 4,0,Big 12|Iowa State University,1660.5,0,0,0,1.0,,0.19117,Powerhouse,0.313159,8686.0,0.059866,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,10,West Virginia University,409.0,Tier 4,0,Big 12|West Virginia University,1660.5,0,0,0,1.0,,0.19117,Powerhouse,0.246311,8686.0,0.047087,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big East,1,Georgetown University,910.5,Tier 1,0,Big East|Georgetown University,910.5,0,0,1,1.0,Super Powerhouse,0.302592,Super Powerhouse,1.0,3009.0,0.302592,men,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big East,2,Seton Hall University,742.5,Tier 2,0,Big East|Seton Hall University,910.5,0,0,0,1.0,,0.302592,Super Powerhouse,0.815486,3009.0,0.24676,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big East,3,Villanova University,610.0,Tier 2,0,Big East|Villanova University,910.5,0,0,0,1.0,,0.302592,Super Powerhouse,0.669962,3009.0,0.202725,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big East,4,Xavier University,582.5,Tier 2,0,Big East|Xavier University,910.5,0,0,0,1.0,,0.302592,Super Powerhouse,0.639758,3009.0,0.193586,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big East,5,Providence College,163.5,Tier 4,0,Big East|Providence College,910.5,0,0,0,1.0,,0.302592,Super Powerhouse,0.179572,3009.0,0.054337,men,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big East,1,Villanova University,1754.0,Tier 1,0,Big East|Villanova University,1754.0,0,0,1,1.0,Super Powerhouse,0.242198,Super Powerhouse,1.0,7242.0,0.242198,women,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big East,2,"Connecticut, University of",1520.0,Tier 1,0,"Big East|Connecticut, University of",1754.0,0,0,0,1.0,Powerhouse,0.242198,Super Powerhouse,0.866591,7242.0,0.209887,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
